timestamp,C,P,netDelta
2020-09-09 10:30:00,177993.4814000003,-98811.69650000006,79181.78490000026
2020-09-09 10:35:00,184355.5533999999,-108902.1036000001,75453.44979999977
2020-09-09 10:40:00,204488.60709999973,-111532.95230000008,92955.65479999963
2020-09-09 10:45:00,205607.32219999967,-119583.09950000005,86024.22269999963
2020-09-09 10:50:00,207131.01990000016,-130634.72269999988,76496.29720000028
2020-09-09 10:55:00,205106.71370000017,-143923.64849999998,61183.06520000019
2020-09-09 11:00:00,221002.2221999997,-146057.21910000037,74945.00309999933
2020-09-09 11:05:00,264292.20030000014,-139839.61620000005,124452.58410000007
2020-09-09 11:10:00,240508.64830000023,-169280.85849999991,71227.78980000035
2020-09-09 11:15:00,249199.17460000032,-173776.85160000034,75422.323
2020-09-09 11:20:00,251837.96950000012,-182440.17599999995,69397.79350000013
2020-09-09 11:25:00,277068.0443,-173522.68779999952,103545.35650000047
2020-09-09 11:30:00,288746.74709999963,-175894.74529999972,112852.00179999994
2020-09-09 11:35:00,288412.5799000001,-186701.8527,101710.72720000011
2020-09-09 11:40:00,300215.8720000002,-193711.28819999995,106504.58380000024
2020-09-09 11:45:00,305684.7921999997,-195487.48019999985,110197.31199999986
2020-09-09 11:50:00,321198.8253999993,-196137.95179999954,125060.8735999998
2020-09-09 11:55:00,323258.2842000003,-202238.21109999975,121020.0731000005
2020-09-09 12:00:00,325529.1753999993,-209061.0298000004,116468.14559999894
2020-09-09 12:05:00,339565.5587999989,-210169.3137000001,129396.24509999885
2020-09-09 12:10:00,346916.6036999996,-211534.23889999988,135382.36479999972
2020-09-09 12:15:00,360725.3507000003,-215081.2713000001,145644.07940000016
2020-09-09 12:20:00,378908.7722999993,-215246.7836999992,163661.98860000007
2020-09-09 12:25:00,374521.45720000024,-223045.94490000032,151475.51229999991
2020-09-09 12:30:00,375962.8486999999,-228856.68389999986,147106.16480000006
2020-09-09 12:35:00,395350.80490000034,-226632.31749999907,168718.48740000132
2020-09-09 12:40:00,411602.6721999997,-223619.6665,187983.00569999978
2020-09-09 12:45:00,439197.1588,-219721.60190000013,219475.55689999988
2020-09-09 12:50:00,436404.32470000075,-227481.36189999912,208922.96280000164
2020-09-09 12:55:00,426573.5411000001,-240014.19419999988,186559.34690000015
2020-09-09 13:00:00,442895.3771,-237297.25179999977,205598.12530000025
2020-09-09 13:05:00,488962.98540000076,-231389.20659999995,257573.7788000008
2020-09-09 13:10:00,515340.10260000103,-228318.02400000038,287022.0786000006
2020-09-09 13:15:00,535961.3232999997,-234209.9014999997,301751.4218
2020-09-09 13:20:00,514848.8663,-259594.09930000012,255254.76699999982
2020-09-09 13:25:00,545460.3823000005,-250424.59160000025,295035.7907000003
2020-09-09 13:30:00,541356.1640999996,-258441.6192000001,282914.5448999995
2020-09-09 13:35:00,552274.5848999998,-258344.98699999985,293929.59789999994
2020-09-09 13:40:00,558481.2807999994,-260803.95769999985,297677.3230999995
2020-09-09 13:45:00,519999.2041999993,-293479.42700000026,226519.77719999905
2020-09-09 13:50:00,545555.0882999981,-290596.85089999955,254958.23739999853
2020-09-09 13:55:00,555731.155500001,-292156.6308999993,263574.5246000017
2020-09-09 14:00:00,526162.5384999997,-319259.3392999987,206903.19920000093
2020-09-09 14:05:00,507124.5850000015,-354730.3819999989,152394.2030000026
2020-09-09 14:10:00,551754.194600001,-336758.43950000056,214995.75510000024
2020-09-09 14:15:00,552300.2803999996,-347991.3316000003,204308.94879999923
2020-09-09 14:20:00,577215.9193999986,-337195.6342999993,240020.28509999946
2020-09-09 14:25:00,564739.9015000007,-352574.5846999997,212165.31680000105
2020-09-09 14:30:00,544208.0241000003,-376206.67,168001.35410000014
2020-09-09 14:35:00,606919.6428999975,-338012.8059000005,268906.83699999703
2020-09-09 14:40:00,629237.254799998,-330962.36489999987,298274.8898999981
2020-09-09 14:45:00,646367.0654000023,-342844.5294999999,303522.5359000024
2020-09-09 14:50:00,621552.4756999997,-361933.4383999995,259619.03730000032
2020-09-09 14:55:00,648195.1096999997,-348863.70729999966,299331.4024
2020-09-09 15:00:00,641081.6396000005,-357612.30160000006,283469.3380000004
2020-09-09 15:05:00,688235.6525000001,-335745.5032000001,352490.1493
2020-09-09 15:10:00,704462.3616000019,-335445.9317000003,369016.4299000015
2020-09-09 15:15:00,675516.757300001,-355907.6035999997,319609.1537000013
2020-09-09 15:20:00,716236.6079999985,-337065.07330000016,379171.5346999982
2020-09-09 15:25:00,747032.1892999995,-330249.3216999989,416782.86760000064
2020-09-09 15:30:00,739905.2085999983,-338652.6429999993,401252.565599999
2020-09-09 15:35:00,731569.8515000001,-351451.9087999993,380117.94270000077
2020-09-09 15:40:00,628531.3927,-432302.98980000033,196228.40289999964
2020-09-09 15:45:00,632459.382800002,-456632.0752000001,175827.30760000192
2020-09-09 15:50:00,607805.2932000004,-490141.9362000009,117663.35699999955
2020-09-09 15:55:00,680576.5118000016,-441019.05870000063,239557.45310000106
2020-09-09 16:00:00,508894.26429999963,-636767.4665999977,-127873.20229999814
2020-09-09 16:05:00,475678.5191000011,-714003.2347000006,-238324.71559999953
2020-09-09 16:10:00,541634.5481999988,-620928.6590999989,-79294.11089999997
2020-09-09 16:15:00,571455.7052999997,-598137.7283999983,-26682.023099998594
2020-09-10 09:35:00,11807.7794,-9238.717700000003,2569.0616999999984
2020-09-10 09:40:00,21517.74210000005,-14770.146800000019,6747.595300000029
2020-09-10 09:45:00,29488.9663,-21552.86229999998,7936.1040000000185
2020-09-10 09:50:00,34607.6989,-27736.067500000005,6871.631399999991
2020-09-10 09:55:00,46004.89839999997,-36401.67820000004,9603.220199999929
2020-09-10 10:00:00,53760.17750000004,-43803.49700000006,9956.680499999979
2020-09-10 10:05:00,66950.84979999991,-51181.43970000003,15769.410099999875
2020-09-10 10:10:00,74659.37660000005,-58315.24970000009,16344.12689999996
2020-09-10 10:15:00,77663.57699999977,-62732.654199999895,14930.92279999986
2020-09-10 10:20:00,87552.55099999999,-64267.90740000001,23284.6436
2020-09-10 10:25:00,89711.09590000004,-71380.9984,18330.097500000047
2020-09-10 10:30:00,90206.35700000009,-84978.96539999999,5227.391600000119
2020-09-10 10:35:00,105699.52370000009,-84637.97309999996,21061.550600000148
2020-09-10 10:40:00,111369.9338,-88440.53009999997,22929.403700000024
2020-09-10 10:45:00,107863.21820000003,-99107.7423999999,8755.475800000146
2020-09-10 10:50:00,109437.70020000004,-136591.3509999997,-27153.650799999654
