timestamp,C,P,netDelta,stockVolumeAll,stockVolumeBus,numStockTransactions,NOPE_busVolume,NOPE_allVolume
2020-05-04 14:05:00,328240.33690000034,-466312.070499999,-138071.7335999987,43980269.0,42347318.0,2445,-0.3260459932787212,-0.3139401753090657
2020-05-04 14:10:00,322131.85020000074,-479598.7136999992,-157466.8634999984,44807099.0,43174148.0,4410,-0.3647248893018072,-0.35143284661209245
2020-05-04 14:15:00,356083.41940000124,-453885.8535999992,-97802.43419999794,45145303.0,43512352.0,2217,-0.22476935790553895,-0.21663922424000107
2020-05-04 14:20:00,360340.0436000008,-454955.0660000007,-94615.0223999999,45339588.0,43706637.0,1553,-0.21647747091591585,-0.20868081642029898
2020-05-04 14:25:00,358568.5058000008,-460996.1222000009,-102427.61640000006,45939929.0,44306978.0,2282,-0.23117716672078167,-0.22295989268942942
2020-05-04 14:30:00,355647.8557999998,-480500.68999999977,-124852.83419999998,46524498.0,44891547.0,3354,-0.27812103289735146,-0.268359336623041
2020-05-04 14:35:00,354688.832699999,-494359.0656999996,-139670.23300000065,47459238.0,45826287.0,3716,-0.30478191043494457,-0.2942951443931751
2020-05-04 14:40:00,341684.0863000003,-525199.1533000013,-183515.06700000094,47918380.0,46285429.0,3042,-0.39648561321534026,-0.38297427208516005
2020-05-04 14:45:00,350082.1396999997,-520720.8792000008,-170638.73950000113,48577561.0,46944610.0,4629,-0.36348952414345576,-0.3512707019193515
2020-05-04 14:50:00,397545.7762,-473815.68019999977,-76269.90399999986,49367996.0,47735045.0,6096,-0.15977758898100938,-0.15449260691076028
2020-05-04 14:55:00,418451.4206000004,-472524.0052999983,-54072.58469999797,50324297.0,48691346.0,6431,-0.11105173535354304,-0.10744826639107938
2020-05-04 15:00:00,454894.6444000013,-457523.504299999,-2628.859899997769,50979996.0,49347045.0,4118,-0.005327289405065225,-0.00515664987497796
2020-05-04 15:05:00,461263.1028000008,-465795.6908000006,-4532.587999999756,51487974.0,49855023.0,3583,-0.009091537275992745,-0.00880319742237237
2020-05-04 15:10:00,477062.39049999975,-460948.3413999988,16114.049100000992,52585929.0,50952978.0,5512,0.03162533326315292,0.030643271701068533
2020-05-04 15:15:00,504011.3113000014,-460835.25889999967,43176.05240000173,53332274.0,51699323.0,5272,0.08351376748202628,0.0809567062525812
2020-05-04 15:20:00,536476.9304,-449863.3278000007,86613.60259999923,54632379.0,52999428.0,5201,0.16342365544020443,0.1585389547103545
2020-05-04 15:25:00,550047.0669999997,-454984.717000001,95062.34999999864,55548972.0,53916021.0,6716,0.17631558901573735,0.1711325098869492
2020-05-04 15:30:00,569839.1762000017,-457930.2889000001,111908.88730000165,57044921.0,55411970.0,7639,0.20195796558036402,0.19617677671952888
2020-05-04 15:35:00,620623.3952999989,-441192.8145000009,179430.58079999808,58083223.0,56450272.0,6907,0.3178560074962935,0.3089198077041938
2020-05-04 15:40:00,611352.2769000012,-462038.31869999843,149313.9582000028,58960180.0,57327229.0,5968,0.2604590537596066,0.253245424623878
2020-05-04 15:45:00,635855.0617999992,-457399.0407000005,178456.0210999987,59883290.0,58250339.0,6020,0.3063604850436985,0.2980063738982923
2020-05-04 15:50:00,641757.7441000019,-465933.06249999936,175824.6816000025,61672608.0,60039657.0,11884,0.29284757839306524,0.2850936376810958
