entry_nope,exit_nope,window,stop_loss_nope,success_rate,total_trades, total_PNL , mean_of_returns , standard_deviation , average_hold_time ,median_hold_time,day,dayNum
85,0,85,1000,57.1%,7, 1.86 , 0.27 , 1.13 , 190.00 ,125,Thursday, 4 
55,30,25,1000,56.7%,30, (2.53), (0.08), 0.85 , 68.33 ,30,Friday, 5 
60,10,50,1000,56.5%,23, 0.30 , 0.01 , 1.15 , 141.09 ,140,Monday, 1 
65,15,50,1000,56.5%,23, 2.12 , 0.09 , 1.09 , 122.17 ,115,Monday, 1 
60,5,55,1000,56.5%,23, 0.53 , 0.02 , 1.16 , 141.74 ,140,Monday, 1 
60,0,60,1000,56.5%,23, 1.06 , 0.05 , 1.18 , 142.17 ,140,Monday, 1 
25,0,25,1000,56.4%,39, 11.81 , 0.30 , 1.09 , 108.59 ,90,Thursday, 4 
35,10,25,1000,56.4%,39, (4.46), (0.11), 0.94 , 90.13 ,40,Friday, 5 
45,15,30,1000,56.3%,32, (3.51), (0.11), 0.91 , 89.84 ,37.5,Friday, 5 
30,0,30,1000,56.1%,41, 1.50 , 0.04 , 1.27 , 100.49 ,50,Friday, 5 
60,20,40,1000,56.0%,25, 1.08 , 0.04 , 1.07 , 122.20 ,70,Monday, 1 
40,5,35,1000,55.9%,34, (1.53), (0.04), 1.03 , 98.68 ,40,Friday, 5 
65,0,65,1000,55.6%,18, (2.74), (0.15), 0.86 , 135.00 ,80,Friday, 5 
70,0,70,1000,55.6%,9, 3.56 , 0.40 , 1.08 , 187.78 ,130,Thursday, 4 
95,25,70,1000,55.6%,9, (2.80), (0.31), 0.80 , 137.78 ,100,Friday, 5 
95,20,75,1000,55.6%,9, (2.80), (0.31), 0.80 , 137.78 ,100,Friday, 5 
95,15,80,1000,55.6%,9, (2.80), (0.31), 0.80 , 137.78 ,100,Friday, 5 
95,10,85,1000,55.6%,9, (3.31), (0.37), 0.88 , 138.89 ,100,Friday, 5 
95,5,90,1000,55.6%,9, (3.31), (0.37), 0.88 , 138.89 ,100,Friday, 5 
25,0,25,1000,54.5%,44, (2.17), (0.05), 1.17 , 99.89 ,47.5,Friday, 5 
65,10,55,1000,54.5%,22, 1.06 , 0.05 , 1.10 , 133.64 ,125,Monday, 1 
65,5,60,1000,54.5%,22, 1.29 , 0.06 , 1.11 , 134.32 ,125,Monday, 1 
65,0,65,1000,54.5%,22, 1.82 , 0.08 , 1.14 , 134.77 ,125,Monday, 1 
35,0,35,1000,54.3%,35, (4.02), (0.11), 1.03 , 107.14 ,50,Friday, 5 
60,15,45,1000,54.2%,24, 1.14 , 0.05 , 1.14 , 130.21 ,92.5,Monday, 1 
35,5,30,1000,54.1%,37, (4.70), (0.13), 0.98 , 97.97 ,45,Friday, 5 
50,10,40,1000,53.8%,26, (6.12), (0.24), 0.88 , 107.88 ,42.5,Friday, 5 
60,10,50,1000,52.4%,21, (5.05), (0.24), 0.96 , 121.19 ,55,Friday, 5 
55,15,40,1000,52.0%,25, (3.90), (0.16), 0.91 , 100.60 ,40,Friday, 5 
50,5,45,1000,52.0%,25, (6.84), (0.27), 0.87 , 118.20 ,45,Friday, 5 
45,0,45,1000,51.9%,27, (3.99), (0.15), 1.02 , 121.67 ,55,Friday, 5 
45,10,35,1000,51.7%,29, (4.71), (0.16), 0.96 , 104.31 ,45,Friday, 5 
45,5,40,1000,50.0%,28, (5.03), (0.18), 0.98 , 113.21 ,52.5,Friday, 5 
50,0,50,1000,50.0%,24, (6.18), (0.26), 0.88 , 127.71 ,70,Friday, 5 
60,5,55,1000,50.0%,20, (5.93), (0.30), 0.95 , 135.75 ,85,Friday, 5 
90,0,90,1000,50.0%,6, 0.24 , 0.04 , 0.88 , 210.83 ,200,Thursday, 4 
95,0,95,1000,50.0%,6, 0.49 , 0.08 , 0.85 , 209.17 ,200,Thursday, 4 
95,0,95,1000,50.0%,8, (3.81), (0.48), 0.86 , 166.25 ,100,Friday, 5 
55,10,45,1000,47.8%,23, (6.27), (0.27), 0.92 , 116.09 ,55,Friday, 5 
60,0,60,1000,47.4%,19, (5.54), (0.29), 0.95 , 146.58 ,115,Friday, 5 
55,5,50,1000,45.5%,22, (7.08), (0.32), 0.91 , 128.86 ,60,Friday, 5 
95,40,55,1000,44.4%,9, 0.52 , 0.06 , 0.62 , 93.89 ,40,Monday, 1 
95,35,60,1000,44.4%,9, 1.50 , 0.17 , 0.72 , 97.78 ,40,Monday, 1 
95,30,65,1000,44.4%,9, 1.22 , 0.14 , 0.68 , 100.00 ,50,Monday, 1 
95,25,70,1000,44.4%,9, 1.28 , 0.14 , 0.69 , 101.11 ,50,Monday, 1 
95,20,75,1000,44.4%,9, 2.04 , 0.23 , 0.85 , 103.89 ,50,Monday, 1 
95,15,80,1000,44.4%,9, 2.04 , 0.23 , 0.85 , 103.89 ,50,Monday, 1 
95,10,85,1000,44.4%,9, 2.04 , 0.23 , 0.85 , 103.89 ,50,Monday, 1 
95,5,90,1000,44.4%,9, 2.27 , 0.25 , 0.90 , 105.56 ,50,Monday, 1 
95,0,95,1000,44.4%,9, 2.27 , 0.25 , 0.90 , 105.56 ,50,Monday, 1 
55,0,55,1000,42.9%,21, (6.69), (0.32), 0.91 , 138.33 ,65,Friday, 5 
75,0,75,1000,42.9%,7, 1.59 , 0.23 , 1.14 , 197.86 ,145,Thursday, 4 
