entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
120.0,0.0,1000.0,0.5625,16.0,-0.35300000000000864,-0.02206250000000054,1.0962650208016986,187.8125,230.0
15.0,5.0,1000.0,0.7013333333333334,375.0,34.512399999999445,0.09203306666666519,1.0182859831349587,80.33333333333333,40.0
20.0,5.0,1000.0,0.6762820512820513,312.0,30.9099999999994,0.0990705128205109,1.0207437463217899,88.71794871794872,45.0
25.0,5.0,1000.0,0.628,250.0,22.038999999999703,0.08815599999999882,1.0631562937233323,99.4,55.0
30.0,5.0,1000.0,0.6462882096069869,229.0,39.482999999999436,0.1724148471615696,1.096918597928008,101.31004366812228,60.0
35.0,5.0,1000.0,0.6373056994818653,193.0,32.58899999999977,0.16885492227979157,1.0873048961428273,108.13471502590673,65.0
40.0,5.0,1000.0,0.6428571428571429,168.0,34.49699999999967,0.20533928571428378,1.0908398117846325,112.44047619047619,62.5
45.0,5.0,1000.0,0.6344827586206897,145.0,27.50599999999963,0.18969655172413538,1.076917310377544,118.79310344827586,80.0
50.0,5.0,1000.0,0.6328125,128.0,26.109999999999445,0.20398437499999567,1.095447867883268,124.1796875,87.5
55.0,5.0,1000.0,0.6330275229357798,109.0,23.6839999999998,0.21728440366972293,1.1539636371103819,130.45871559633028,110.0
60.0,5.0,1000.0,0.6494845360824743,97.0,26.601999999999578,0.274247422680408,1.2067032139170182,133.81443298969072,115.0
65.0,5.0,1000.0,0.6428571428571429,84.0,21.436999999999614,0.25520238095237635,1.0643105441797025,136.25,115.0
70.0,5.0,1000.0,0.684931506849315,73.0,19.539999999999793,0.2676712328767095,1.0578515708578966,128.56164383561645,110.0
75.0,5.0,1000.0,0.696969696969697,66.0,20.1189999999998,0.3048333333333303,1.0877529072264056,124.92424242424242,97.5
80.0,5.0,1000.0,0.7142857142857143,56.0,11.268999999999778,0.2012321428571389,0.9805810149845149,131.96428571428572,110.0
85.0,5.0,1000.0,0.673469387755102,49.0,9.379999999999711,0.19142857142856554,0.9999781872621069,132.14285714285714,100.0
90.0,5.0,1000.0,0.6744186046511628,43.0,4.84299999999962,0.11262790697673535,0.9331376416425833,130.0,100.0
95.0,5.0,1000.0,0.5882352941176471,34.0,3.195999999999742,0.09399999999999242,0.9413752673293467,142.35294117647058,112.5
100.0,5.0,1000.0,0.5714285714285714,28.0,0.14199999999976853,0.0050714285714203045,0.9675827815507265,150.35714285714286,167.5
105.0,5.0,1000.0,0.6923076923076923,26.0,2.695999999999799,0.10369230769229996,0.9803300166466682,153.65384615384616,172.5
110.0,5.0,1000.0,0.6842105263157895,19.0,3.568999999999903,0.1878421052631528,1.098058704318059,170.26315789473685,185.0
115.0,5.0,1000.0,0.625,16.0,0.8340000000000032,0.0521250000000002,1.0901652397687298,183.4375,230.0
120.0,5.0,1000.0,0.625,16.0,0.6929999999999836,0.04331249999999898,1.1005423946854642,175.625,207.5
20.0,10.0,1000.0,0.7093023255813954,344.0,27.886999999999716,0.08106686046511545,0.9329946885224526,77.09302325581395,40.0
25.0,10.0,1000.0,0.662962962962963,270.0,20.31599999999969,0.0752444444444433,0.9862264492345372,88.61111111111111,45.0
30.0,10.0,1000.0,0.6694214876033058,242.0,36.372999999999536,0.15030165289256006,1.021943577827472,92.02479338842976,50.0
35.0,10.0,1000.0,0.6482412060301508,199.0,32.835999999999785,0.16500502512562706,1.043400755385127,101.13065326633166,55.0
40.0,10.0,1000.0,0.653179190751445,173.0,35.794999999999675,0.20690751445086517,1.0582236886016196,105.0,55.0
45.0,10.0,1000.0,0.6418918918918919,148.0,27.48899999999952,0.18573648648648325,1.0541672430628606,113.47972972972973,67.5
50.0,10.0,1000.0,0.6356589147286822,129.0,25.882999999999356,0.20064341085270818,1.0896091027752897,120.3875968992248,80.0
55.0,10.0,1000.0,0.6363636363636364,110.0,23.45799999999963,0.2132545454545421,1.1465657651780075,126.18181818181819,105.0
60.0,10.0,1000.0,0.6530612244897959,98.0,26.534999999999457,0.2707653061224434,1.1983667906653155,128.9795918367347,112.5
65.0,10.0,1000.0,0.6428571428571429,84.0,20.579999999999586,0.24499999999999508,1.0596646434728794,133.57142857142858,115.0
70.0,10.0,1000.0,0.684931506849315,73.0,18.68999999999977,0.25602739726027085,1.0511245297379117,125.75342465753425,110.0
75.0,10.0,1000.0,0.696969696969697,66.0,19.37899999999979,0.29362121212120895,1.0813074104299965,121.89393939393939,97.5
80.0,10.0,1000.0,0.7142857142857143,56.0,10.528999999999769,0.18801785714285302,0.9700974363634659,128.39285714285714,110.0
85.0,10.0,1000.0,0.673469387755102,49.0,8.639999999999702,0.17632653061223882,0.9860120094720632,128.0612244897959,100.0
90.0,10.0,1000.0,0.6744186046511628,43.0,4.09299999999962,0.09518604651161906,0.9139420961082614,129.30232558139534,100.0
95.0,10.0,1000.0,0.5882352941176471,34.0,2.445999999999742,0.07194117647058065,0.9165753103074743,141.47058823529412,112.5
100.0,10.0,1000.0,0.5714285714285714,28.0,-0.20800000000019736,-0.0074285714285784775,0.9590218561820806,150.17857142857142,167.5
105.0,10.0,1000.0,0.6923076923076923,26.0,2.345999999999833,0.09023076923076281,0.9726159903144616,153.46153846153845,172.5
110.0,10.0,1000.0,0.6842105263157895,19.0,3.2189999999999372,0.16942105263157564,1.085299104486331,170.0,185.0
115.0,10.0,1000.0,0.625,16.0,0.4840000000000373,0.03025000000000233,1.0627710634625642,183.125,230.0
120.0,10.0,1000.0,0.625,16.0,0.34300000000001774,0.02143750000000111,1.0732215036204564,175.3125,207.5
25.0,15.0,1000.0,0.696875,320.0,32.07200000000006,0.10022500000000019,0.8636003041143843,70.875,35.0
30.0,15.0,1000.0,0.7018181818181818,275.0,44.95399999999978,0.16346909090909012,0.893792331420098,76.27272727272727,40.0
35.0,15.0,1000.0,0.6769911504424779,226.0,42.19599999999991,0.18670796460176953,0.9252074043169721,83.8716814159292,50.0
40.0,15.0,1000.0,0.6631578947368421,190.0,42.29499999999979,0.2226052631578936,0.9611158731730901,89.26315789473684,50.0
45.0,15.0,1000.0,0.6503067484662577,163.0,33.89199999999954,0.20792638036809535,0.9833571595247919,95.95092024539878,55.0
50.0,15.0,1000.0,0.6783216783216783,143.0,35.21399999999932,0.24625174825174348,1.0090994832831954,99.1958041958042,55.0
55.0,15.0,1000.0,0.6638655462184874,119.0,28.170999999999538,0.2367310924369709,1.0701005393719085,109.28571428571429,65.0
60.0,15.0,1000.0,0.6857142857142857,105.0,31.86799999999937,0.3035047619047559,1.1227302070246277,113.14285714285714,70.0
65.0,15.0,1000.0,0.6923076923076923,91.0,27.654999999999575,0.30390109890109424,1.0062322357846183,115.05494505494505,80.0
70.0,15.0,1000.0,0.6973684210526315,76.0,21.36799999999971,0.2811578947368383,1.0102842775197038,116.64473684210526,92.5
75.0,15.0,1000.0,0.7101449275362319,69.0,22.23699999999974,0.3222753623188368,1.0322717933826715,111.95652173913044,85.0
80.0,15.0,1000.0,0.7192982456140351,57.0,11.351999999999748,0.19915789473683768,0.9184243648280358,120.52631578947368,95.0
85.0,15.0,1000.0,0.68,50.0,9.91299999999967,0.19825999999999339,0.9577682777569728,120.6,95.0
90.0,15.0,1000.0,0.6744186046511628,43.0,4.482999999999606,0.10425581395347921,0.8920829582665967,125.0,90.0
95.0,15.0,1000.0,0.5882352941176471,34.0,2.9159999999997126,0.08576470588234449,0.8909718581694447,138.97058823529412,112.5
100.0,15.0,1000.0,0.5714285714285714,28.0,0.2619999999997731,0.009357142857134753,0.9306093668402418,147.14285714285714,167.5
105.0,15.0,1000.0,0.6923076923076923,26.0,2.8159999999998035,0.10830769230768475,0.9403729800129613,150.19230769230768,172.5
110.0,15.0,1000.0,0.6842105263157895,19.0,3.6889999999999077,0.19415789473683726,1.0430231841014375,165.52631578947367,185.0
115.0,15.0,1000.0,0.625,16.0,0.9540000000000077,0.05962500000000048,1.0149316479448336,177.8125,230.0
120.0,15.0,1000.0,0.625,16.0,0.8129999999999882,0.05081249999999926,1.0261386663117316,170.0,207.5
30.0,20.0,1000.0,0.7043189368770764,301.0,37.558999999999855,0.12478073089700949,0.8005056975192602,66.0797342192691,35.0
35.0,20.0,1000.0,0.6872427983539094,243.0,34.46600000000001,0.1418353909465021,0.8216616087162479,74.48559670781893,40.0
40.0,20.0,1000.0,0.6598984771573604,197.0,28.555999999999983,0.1449543147208121,0.8431557116124246,82.74111675126903,45.0
45.0,20.0,1000.0,0.6607142857142857,168.0,21.352999999999838,0.1271011904761895,0.8426826612334467,87.70833333333333,50.0
50.0,20.0,1000.0,0.684931506849315,146.0,24.205999999999676,0.165794520547943,0.8619216695173418,91.57534246575342,52.5
55.0,20.0,1000.0,0.6721311475409836,122.0,19.055999999999926,0.1561967213114748,0.8962627883463025,100.73770491803279,65.0
