entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time
10,0,70,0.559701493,536,46.1807,0.086158022,1.030127276,53.48880597
10,0,80,0.596421471,503,47.6647,0.094760835,1.051722629,59.98011928
10,0,90,0.634615385,468,52.8267,0.112877564,1.076029895,66.81623932
10,0,100,0.654017857,448,55.1617,0.123128795,1.084666584,71.40625
20,0,30,0.331983806,494,-1.107,-0.002240891,0.652307858,21.10323887
20,0,40,0.385658915,516,-4.161,-0.008063953,0.765714577,29.84496124
20,0,50,0.434077079,493,8.021,0.016269777,0.827663121,38.47870183
20,0,60,0.4527897,466,5.428,0.011648069,0.890508221,46.39484979
20,0,70,0.484486874,419,21.751,0.051911695,0.948440947,56.28878282
20,0,80,0.525906736,386,23.235,0.060194301,0.981448276,64.98704663
20,0,90,0.575498575,351,28.397,0.080903134,1.013430847,74.6011396
20,0,100,0.598187311,331,30.732,0.092845921,1.027069864,81.28398792
30,0,40,0.326203209,374,5.88,0.015721925,0.715302803,25.22727273
30,0,50,0.382926829,410,17.203,0.041958537,0.785054129,33.62195122
30,0,60,0.411764706,391,16.448,0.042066496,0.861085133,42.40409207
30,0,70,0.445714286,350,32.811,0.093745714,0.942239757,53.05714286
30,0,80,0.496855346,318,34.635,0.108915094,0.983149081,63.12893082
30,0,90,0.552816901,284,39.797,0.140130282,1.031297896,74.55985915
30,0,100,0.579545455,264,42.132,0.159590909,1.052661013,82.93560606
40,0,50,0.311643836,292,6.861,0.023496575,0.618591658,30.01712329
40,0,60,0.34375,320,4.02,0.0125625,0.711332184,37.5625
40,0,70,0.390410959,292,23.95,0.082020548,0.8335041,48.59589041
40,0,80,0.452471483,263,26.069,0.099121673,0.890594968,59.75285171
40,0,90,0.519480519,231,31.646,0.136995671,0.945988324,72.85714286
40,0,100,0.55450237,211,33.981,0.161047393,0.974425832,83.17535545
50,0,60,0.299145299,234,2.723,0.011636752,0.61892622,33.97435897
50,0,70,0.341463415,246,17.663,0.071800813,0.767040034,43.37398374
50,0,80,0.416289593,221,21.082,0.095393665,0.834363047,56.04072398
50,0,90,0.489583333,192,27.098,0.141135417,0.894951958,70.49479167
50,0,100,0.543352601,173,29.633,0.171289017,0.926345205,82.4566474
60,0,70,0.296703297,182,14.46,0.079450549,0.794393584,37.55494505
60,0,80,0.389189189,185,21.925,0.118513514,0.855744795,50.40540541
60,0,90,0.453416149,161,27.135,0.168540373,0.927749016,65.62111801
60,0,100,0.517482517,143,28.96,0.202517483,0.970419169,79.26573427
70,0,80,0.320610687,131,13.694,0.104534351,0.723052783,39.92366412
70,0,90,0.420634921,126,19.7,0.156349206,0.792527948,54.92063492
70,0,100,0.504273504,117,21.265,0.181752137,0.801831867,65.8974359
80,0,90,0.381443299,97,13.211,0.136195876,0.647987954,44.84536082
80,0,100,0.46875,96,13.068,0.136125,0.685297542,58.125
90,0,100,0.378787879,66,3.442,0.052151515,0.6241737,47.34848485
