entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
-45,-20,-100,0.482352941,340,18.059,0.053114706,1.847338087,55.42647059,30
-45,-15,-100,0.460122699,326,8.511,0.026107362,1.935214899,62.79141104,30
-45,-10,-100,0.444794953,317,-15.8146,-0.049888328,1.838729564,68.4384858,35
-45,-5,-100,0.436893204,309,-17.8463,-0.057755016,1.898868849,73.75404531,35
-45,0,-100,0.420529801,302,-14.76,-0.048874172,1.951869135,79.0397351,42.5
-50,-40,-100,0.554973822,382,17.436,0.045643979,1.407211867,32.52617801,20
-50,-35,-100,0.529577465,355,10.603,0.029867606,1.491918945,37.66197183,25
-50,-30,-100,0.5,334,9.297,0.027835329,1.617003305,43.59281437,25
-50,-25,-100,0.48136646,322,13,0.040372671,1.711073336,48.74223602,30
-50,-20,-100,0.461038961,308,15.404,0.050012987,1.873789414,55.06493506,30
-50,-15,-100,0.435810811,296,6.972,0.023554054,1.998745421,62.63513514,35
-50,-10,-100,0.424137931,290,-18.482,-0.063731034,1.809306202,68.24137931,35
-50,-5,-100,0.410526316,285,-21.5623,-0.075657193,1.827960826,72.0877193,35
-50,0,-100,0.40070922,282,-16.342,-0.057950355,1.872267061,76.25886525,40
-55,-45,-100,0.547752809,356,-1.422,-0.003994382,1.245827454,28.87640449,15
-55,-40,-100,0.532352941,340,4.502,0.013241176,1.348616088,32.35294118,20
-55,-35,-100,0.506289308,318,-3.186,-0.010018868,1.412458697,37.70440252,25
-55,-30,-100,0.481848185,303,0.113,0.000372937,1.519555484,42.85478548,25
-55,-25,-100,0.455479452,292,-2.844,-0.009739726,1.568735736,47.9109589,30
-55,-20,-100,0.440140845,284,7.972,0.028070423,1.761604375,53.39788732,30
-55,-15,-100,0.416058394,274,-3.09,-0.011277372,1.863179779,62.31751825,30
-55,-10,-100,0.407407407,270,-27.027,-0.1001,1.643183116,67.75925926,30
-55,-5,-100,0.399253731,268,-25.8193,-0.096340672,1.662981967,71.08208955,32.5
-55,0,-100,0.388679245,265,-22.49,-0.084867925,1.712236662,75.0754717,35
-60,-50,-100,0.52,325,-13.108,-0.040332308,1.159263429,26.89230769,15
-60,-45,-100,0.493464052,306,-9.51,-0.031078431,1.226886958,30.6372549,20
-60,-40,-100,0.483108108,296,-1.147,-0.003875,1.275792806,33.66554054,20
-60,-35,-100,0.459363958,283,-3.223,-0.011388693,1.332906531,38.26855124,25
-60,-30,-100,0.44,275,0.033,0.00012,1.402979214,42.49090909,25
-60,-25,-100,0.415730337,267,-9.145,-0.034250936,1.410124831,47.05992509,25
-60,-20,-100,0.408396947,262,-2.906,-0.011091603,1.550466356,51.90839695,25
-60,-15,-100,0.39688716,257,-6.102,-0.023743191,1.626809638,57.66536965,30
-60,-10,-100,0.38976378,254,-19.323,-0.076074803,1.617004134,61.14173228,30
-60,-5,-100,0.384920635,252,-17.2043,-0.068271032,1.639054556,63.88888889,30
-60,0,-100,0.373493976,249,-15.95,-0.064056225,1.681297647,67.22891566,30
-65,-55,-100,0.508090615,309,-5.8023,-0.01877767,1.100581035,24.44983819,15
-65,-50,-100,0.482758621,290,-6.619,-0.022824138,1.192921252,27.93103448,20
